ensemble	beta	a_mu	L_a	a_mps	sd_a_mps	a_fps	sd_a_fps	Zp	sd_Zp	a	a_mps_n	sd_a_mps_n	r0_a	sd_r0_a	corr	a_mn	sd_a_mn	a_mk	sd_a_mk	a_md	sd_a_md
IA0300_32	1.900	0.00300	32	0.12395	0.00036	0.06451	0.00035	0.465	0.004	0.0859 	0.0611	0.0036	5.231	0.038	-0.823	0.516	0.007	0.25150	0.00029	0.9230	0.0440
IA0400_24	1.900	0.00400	24	0.14493	0.00052	0.06567	0.00034	0.465	0.004	0.0859	0.0694	0.0065	5.231	0.038	-0.793	0.540	0.006	0.25884	0.00043	0.9375	0.0128
IA0400_32	1.900	0.00400	32	0.14142	0.00027	0.06791	0.00018	0.465	0.004	0.0859 	0.0811	0.0050	5.231	0.038	-0.514	0.526	0.004	0.25666	0.00023	0.9216	0.0109
IA0500_32	1.900	0.00500	32	0.15761	0.00032	0.07063	0.00016	0.465	0.004	0.0859 	NA	NA	5.231	0.038	-0.546	0.534	0.004	0.26225	0.00038	0.9348	0.0173
IA0600_24	1.900	0.00600	24	0.17275	0.00045	0.07169	0.00022	0.465	0.004	0.0859 	0.1010	0.0110	5.231	0.038	-0.400	0.569	0.007	0.26695	0.00052	0.9298	0.0118
IA0800_24	1.900	0.00800	24	0.19875	0.00041	0.07623	0.00021	0.465	0.004	0.0859	0.1220	0.0160	5.231	0.038	-0.331	0.592	0.007	0.27706	0.00061	0.9319	0.0094
IA1000_24	1.900	0.01000	24	0.22293	0.00035	0.07926	0.00020	0.465	0.004	0.0859 	0.1570	0.0180	5.231	0.038	-0.088	0/623	0.006	0.28807	0.00034	0.9427	0.0099
IB0250_32	1.950	0.00250	32	0.10680	0.00039	0.05727	0.00036	0.461	0.003	0.0782	0.0605	0.0036	5.710	0.041	-0.757	0.448	0.008	0.21240	0.00050	0.8395	0.0109
IB0350_32	1.950	0.00350	32	0.12602	0.00030	0.06074	0.00018	0.461	0.003	0.0782	0.0710	0.0061	5.710	0.041	-0.564	0.464	0.005	0.21840	0.00028	0.8286	0.0085
IB0350_48	1.950	0.00350	48	0.12402	0.00011	0.06158	0.00008	0.461	0.003	0.0782	NA	NA	5.710	0.041	0.070	NA	NA	NA	NA	NA	NA
IB0550_32	1.950	0.00550	32	0.15518	0.00021	0.06557	0.00015	0.461	0.003	0.0782	0.1320	0.0080	5.710	0.041	-0.139	0.509	0.004	0.22799	0.00034	0.8532	0.0062
IB0750_32	1.950	0.00750	32	0.18020	0.00027	0.06895	0.00017	0.461	0.003	0.0782	0.1560	0.0130	5.710	0.041	0.137	0.538	0.003	0.23753	0.00032	0.8361	0.0127
IB0850_24	1.950	0.00850	24	0.19396	0.00038	0.06999	0.00020	0.461	0.003	0.0782	0.1190	0.0180	5.710	0.041	-0.201	0.558	0.003	0.24392	0.00059	0.8524	0.0103
ID0115_64	2.100	0.00115	64	0.06144	0.00029	0.04327	0.00035	0.498	0.001	0.0606	NA	NA	7.538	0.058	-0.253	NA	NA	NA	NA	NA	NA
ID0150_48	2.100	0.00150	48	0.06975	0.00020	0.04368	0.00017	0.498	0.001	0.0606	0.05610	0.0031	7.538	0.058	-0.043	NA	NA	0.16897	0.00085	NA	NA
ID0200_48	2.100	0.00200	48	0.08046	0.00016	0.04504	0.00014	0.498	0.001	0.0606	0.06510	0.0042	7.538	0.058	-0.474	NA	NA	0.17273	0.00038	0.6718	0.0055
ID0300_48	2.100	0.00300	48	0.09780	0.00016	0.04729	0.00013	0.498	0.001	0.0606	0.08600	0.0046	7.538	0.058	-0.245	NA	NA	0.17760	0.00023	0.6731	0.0090
ID0450_32	2.100	0.00450	32	0.12087	0.00040	0.04799	0.00017	0.498	0.001	0.0606	0.08860	0.0095	7.538	0.058	0.015	NA	NA	0.17570	0.00084	0.6164	0.0085
DUMMY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
