ensemble	beta	a_mu	L	a_mps	sd_a_mps	a_fps	sd_a_fps	Zp	sd_Zp	a	a_mps_n	sd_a_mps_n
IA0300_32	1.900	0.00300	32	0.12395	0.00036	0.06451	0.00035	0.465	0.007	0.0859 	0.0576	0.0037
IA0400_20	1.900	0.00400	20	0.14927	0.00074	0.06198	0.00057	0.465	0.007	0.0859	NA		NA
IA0400_24	1.900	0.00400	24	0.14493	0.00052	0.06567	0.00034	0.465	0.007	0.0859	0.0762	0.0049
IA0400_32	1.900	0.00400	32	0.14142	0.00027	0.06791	0.00018	0.465	0.007	0.0859 	0.0825	0.0042
IA0500_32	1.900	0.00500	32	0.15761	0.00032	0.07063	0.00016	0.465	0.007	0.0859 	NA		NA
IA0600_24	1.900	0.00600	24	0.17275	0.00045	0.07169	0.00022	0.465	0.007	0.0859 	0.1070	0.0070
IA0800_24	1.900	0.00800	24	0.19880	0.00046	0.07623	0.00021	0.465	0.007	0.0859	0.1490	0.0060
IA1000_24	1.900	0.01000	24	0.22125	0.00058	0.07926	0.00026	0.465	0.007	0.0859 	0.1800	0.0080
IB0250_32	1.950	0.00250	32	0.10680	0.00039	0.05727	0.00036	0.461	0.005	0.0782	0.0611	0.0021	
IB0350_32	1.950	0.00350	32	0.12602	0.00030	0.06074	0.00018	0.461	0.005	0.0782	0.0718	0.0032
IB0350_48	1.950	0.00350	48	0.12402	0.00011	0.06158	0.00008	0.461	0.005	0.0782	NA		NA
IB0550_32	1.950	0.00550	32	0.15518	0.00021	0.06557	0.00015	0.461	0.005	0.0782	0.1190	0.0070
IB0750_32	1.950	0.00750	32	0.18020	0.00027	0.06895	0.00017	0.461	0.005	0.0782	0.1470	0.0090
IB0850_24	1.950	0.00850	24	0.19396	0.00038	0.06999	0.00020	0.461	0.005	0.0782	0.1340	0.0140
ID0115_64	2.100	0.00115	64	0.06144	0.00029	0.04327	0.00035	0.498	0.003	0.0606	NA		NA
ID0150_48	2.100	0.00150	48	0.06975	0.00020	0.04368	0.00017	0.498	0.003	0.0606	0.06050 0.00270
ID0200_48	2.100	0.00200	48	0.08046	0.00016	0.04504	0.00014	0.498	0.003	0.0606	0.06300	0.00300
ID0300_48	2.100	0.00300	48	0.09780	0.00016	0.04729	0.00013	0.498	0.003	0.0606	0.07900	0.00700
ID0450_32	2.100	0.00450	32	0.12087	0.00040	0.04799	0.00017	0.498	0.003	0.0606	0.09180	0.00650
SA0600_24	3.800	0.00600	24	0.18520	0.00090	0.07700	0.00080	0.340	0.010	0.0998	NA		NA
SA0800_24	3.800	0.00800	24	0.20850	0.00080	0.08350	0.00040	0.340	0.010	0.0998	NA		NA
SA1100_24	3.800	0.01100	24	0.24240	0.00050	0.08920	0.00030	0.340	0.010	0.0998	NA		NA
SA1650_24	3.800	0.01650	24	0.29570	0.00050	0.09690	0.00020	0.340	0.010	0.0998	NA		NA
SB0300_32	3.900	0.00300	32	0.11670	0.00040	0.06330	0.00030	0.384	0.008	0.0847	NA		NA
SB0400_32	3.900	0.00400	32	0.13380	0.00024	0.06630	0.00016	0.384	0.008	0.0847	NA		NA
SB0640_24	3.900	0.00640	24	0.16940	0.00036	0.07050	0.00035	0.384	0.008	0.0847	NA		NA
SB0850_24	3.900	0.00850	24	0.19400	0.00050	0.07420	0.00024	0.384	0.008	0.0847	NA		NA
SB1000_24	3.900	0.01000	24	0.21000	0.00052	0.07590	0.00040	0.384	0.008	0.0847	NA		NA
SB1500_24	3.900	0.01500	24	0.25860	0.00070	0.08300	0.00030	0.384	0.008	0.0847	NA		NA
SC0300_32	4.050	0.00300	32	0.10380	0.00060	0.05000	0.00040	0.417	0.011	0.0672	NA		NA
SC0600_32	4.050	0.00600	32	0.14320	0.00060	0.05690	0.00020	0.417	0.011	0.0672	NA		NA
SC0800_32	4.050	0.00800	32	0.16510	0.00050	0.05950	0.00020	0.417	0.011	0.0672	NA		NA
SC1200_32	4.050	0.01200	32	0.20250	0.00060	0.06440	0.00020	0.417	0.011	0.0672	NA		NA
